stop_number,stop_name,x_pos,y_pos,max_capacity,Stop_000,Stop_001,Stop_002,Stop_003,Stop_004,Stop_005,Stop_006,Stop_007,Stop_008,Stop_009,Stop_010,Stop_011,Stop_012,Stop_013,Stop_014,Stop_015,Stop_016,Stop_017,Stop_018,Stop_019,Stop_020,Stop_021,Stop_022,Stop_023,Stop_024,Stop_025,Stop_026,Stop_027,Stop_028,Stop_029,Stop_030,Stop_031,Stop_032,Stop_033,Stop_034,Stop_035,Stop_036,Stop_037,Stop_038,Stop_039,Stop_040,Stop_041,Stop_042,Stop_043,Stop_044,Stop_045,Stop_046,Stop_047,Stop_048,Stop_049,Stop_050,Stop_051,Stop_052,Stop_053,Stop_054,Stop_055,Stop_056,Stop_057,Stop_058,Stop_059,Stop_060,Stop_061,Stop_062,Stop_063,Stop_064,Stop_065,Stop_066,Stop_067,Stop_068,Stop_069,Stop_070,Stop_071,Stop_072,Stop_073,Stop_074,Stop_075,Stop_076,Stop_077,Stop_078,Stop_079,Stop_080,Stop_081,Stop_082,Stop_083,Stop_084,Stop_085,Stop_086,Stop_087,Stop_088,Stop_089,Stop_090,Stop_091,Stop_092,Stop_093,Stop_094,Stop_095,Stop_096,Stop_097,Stop_098,Stop_099,Stop_100,Stop_101,Stop_102,Stop_103,Stop_104,Stop_105,Stop_106,Stop_107,Stop_108,Stop_109,Stop_110,Stop_111,Stop_112,Stop_113,Stop_114,Stop_115,Stop_116,Stop_117,Stop_118,Stop_119,Stop_120,Stop_121,Stop_122,Stop_123,Stop_124,Stop_125,Stop_126,Stop_127,Stop_128,Stop_129,Stop_130,Stop_131,Stop_132,Stop_133,Stop_134,Stop_135,Stop_136,Stop_137,Stop_138,Stop_139,Stop_140,Stop_141,Stop_142,Stop_143,Stop_144,Stop_145,Stop_146,Stop_147,Stop_148,Stop_149,Stop_150,Stop_151,Stop_152,Stop_153,Stop_154,Stop_155,Stop_156,Stop_157,Stop_158,Stop_159,Stop_160,Stop_161,Stop_162,Stop_163,Stop_164,Stop_165,Stop_166,Stop_167,Stop_168,Stop_169,Stop_170,Stop_171,Stop_172,Stop_173,Stop_174,Stop_175,Stop_176,Stop_177,Stop_178,Stop_179,Stop_180,Stop_181,Stop_182,Stop_183,Stop_184,Stop_185,Stop_186,Stop_187,Stop_188,Stop_189,Stop_190,Stop_191,Stop_192,Stop_193,Stop_194,Stop_195,Stop_196,Stop_197,Stop_198,Stop_199,Stop_200,Stop_201,Stop_202,Stop_203,Stop_204,Stop_205,Stop_206,Stop_207,Stop_208,Stop_209,Stop_210,Stop_211,Stop_212,Stop_213,Stop_214,Stop_215,Stop_216,Stop_217,Stop_218,Stop_219,Stop_220,Stop_221,Stop_222,Stop_223,Stop_224,Stop_225,Stop_226,Stop_227,Stop_228,Stop_229,Stop_230,Stop_231,Stop_232,Stop_233,Stop_234,Stop_235,Stop_236,Stop_237,Stop_238,Stop_239,Stop_240,Stop_241,Stop_242,Stop_243,Stop_244,Stop_245,Stop_246,Stop_247,Stop_248,Stop_249,Stop_250,Stop_251,Stop_252,Stop_253,Stop_254,Stop_255,Stop_256,Stop_257,Stop_258,Stop_259,Stop_260,Stop_261,Stop_262,Stop_263,Stop_264,Stop_265,Stop_266,Stop_267,Stop_268,Stop_269,Stop_270,Stop_271,Stop_272,Stop_273,Stop_274,Stop_275,Stop_276,Stop_277,Stop_278,Stop_279,Stop_280,Stop_281,Stop_282,Stop_283,Stop_284,Stop_285,Stop_286,Stop_287,Stop_288,Stop_289,Stop_290,Stop_291,Stop_292,Stop_293,Stop_294,Stop_295,Stop_296,Stop_297,Stop_298,Stop_299
10,Stop_010,4400,1000,2176,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,2,1,2,0,1,2,1,2,0,2,2,1,1,2,2,1,3,3,2,0,3,3,2,4,4,0,2,1,4,2,3,3,1,4,4,3,2,1,3,1,4,4,2,2,3,3,2,5,6,4,6,1,4,7,5,5,4,3,0,1,5,2,6,1,6,5,3,6,2,6,3,2,4,6,5,4,3,8,6,2,9,9,0,3,8,1,9,6,8,10,1,3,7,8,3,11,1,1,8,11,1,7,6,1,2,0,12,7,11,13,2,6,11,3,12,0,13,13,9,2,4,5,11,4,11,9,5,2,5,13,3,13,9,9,12,11,13,0,6,3,2,9,3,10,13,9,5,12,16,14,1,1,9,2,6,17,13,15,14,9,10,6,7,7,9,4,1,6,12,8,12,15,2,12,18,13,6,19,1,0,2,12,6,1,10,20,4,15,9,11,0,2,9,13,0,4,21,10,20,21,5,18,8,22,13,4,20,14,22,10,4,2,18,7,15,21,1,10,14,21,18,4,12,21,14,5,8,17,18,8,15,14,15,1,16,14,1,14,10,20,20,18,11,14,17,7,17,16,21,18,6,25,10,20,1,24,17,10,24,0,6,24,5,16,14,26,24,21,22,47
11,Stop_011,4800,1000,2110,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,1,2,0,2,1,2,1,2,2,3,1,1,1,1,0,0,1,2,1,4,3,2,3,2,3,0,2,2,1,5,3,3,1,3,6,2,5,6,5,5,4,0,6,6,6,2,5,5,2,3,5,6,4,1,5,3,1,6,7,2,4,0,2,1,7,9,8,5,8,4,2,2,3,1,0,7,6,4,4,2,5,1,2,5,5,10,4,10,9,10,2,3,4,2,1,11,6,2,9,8,4,3,10,10,9,7,2,4,3,9,2,2,7,8,7,7,2,8,8,10,13,14,1,11,1,14,7,10,4,4,5,5,8,15,15,8,3,2,4,9,15,13,16,2,13,12,1,7,4,5,15,6,12,5,8,9,15,16,15,10,9,5,9,1,9,17,11,14,1,4,6,14,18,6,3,13,4,19,18,1,8,3,14,11,14,20,11,11,8,0,1,12,13,14,1,4,17,3,15,20,8,17,18,19,19,20,19,3,13,20,21,7,8,17,19,3,9,19,22,16,0,8,9,13,8,14,18,3,12,9,12,11,11,16,9,2,23,25,2,26,5,9,13,16,16,10,22,27,12,5,26,5,14,21,14,8,0,20,8,26,1,17,11,27,23,3
12,Stop_012,5200,1000,2030,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,2,1,0,1,2,0,1,1,0,1,3,1,3,0,2,2,2,1,0,0,3,3,4,1,4,1,3,3,1,3,3,4,1,0,0,3,3,1,2,5,0,4,2,3,1,5,6,6,6,6,3,1,2,0,7,7,2,7,7,0,3,8,1,0,0,3,8,5,1,2,7,6,8,4,9,2,9,2,1,8,3,8,0,9,5,8,5,5,6,5,3,11,4,4,6,4,3,6,11,6,12,5,10,2,1,5,2,2,2,2,11,10,4,5,6,4,1,2,7,8,7,10,2,7,5,7,4,4,2,6,2,9,12,8,10,8,0,6,0,4,1,9,4,11,16,7,2,2,4,4,14,8,12,9,14,7,8,6,8,7,9,3,14,17,14,10,7,10,3,17,14,9,4,9,12,13,4,4,10,7,17,3,15,9,19,19,8,6,1,0,8,9,14,17,17,19,21,20,14,11,1,14,5,21,1,4,8,20,22,13,23,10,4,19,22,10,13,13,2,13,13,1,17,4,17,18,4,15,10,13,5,20,12,13,12,14,21,25,17,20,21,9,14,2,22,14,15,20,19,23,4,14,18,1,6,3,14,5,8,2,9,12,17,11,12,2,0,12,12,40
13,Stop_013,5600,1000,2110,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,2,1,0,2,0,3,2,1,3,3,2,2,1,2,1,2,3,1,4,1,3,4,0,4,1,1,3,3,2,2,3,4,1,4,2,6,2,0,1,4,2,4,6,3,6,5,4,1,3,4,5,1,4,3,5,4,5,2,4,3,6,6,6,1,4,3,9,8,0,1,8,8,1,6,0,1,5,6,3,10,8,9,7,5,9,11,7,5,1,11,9,5,4,10,3,1,0,1,10,3,1,3,2,12,8,13,10,2,9,9,4,10,8,11,13,2,13,8,12,8,12,1,14,9,0,5,0,14,12,10,12,8,0,2,3,15,15,11,14,3,4,4,6,4,3,7,10,7,9,10,5,11,17,16,2,3,11,16,2,14,14,18,0,9,3,8,9,15,2,7,5,12,11,4,18,2,15,0,15,19,8,16,4,16,12,8,2,19,14,7,2,11,1,5,11,6,4,21,13,5,4,12,6,11,16,3,10,21,22,3,16,5,13,13,1,18,1,3,10,8,2,12,6,11,24,20,23,24,22,20,2,21,11,3,13,16,22,13,12,24,10,22,19,20,5,19,24,12,18,6,7,18,23,18,14,9,19,10,9,15,8,19,53
14,Stop_014,6000,1000,2191,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,2,1,1,2,2,0,1,2,0,2,3,3,0,2,0,1,2,2,2,1,3,3,3,0,1,0,2,1,0,4,4,0,3,5,2,4,2,2,5,1,3,2,4,2,1,3,4,3,1,1,2,2,2,4,0,2,1,5,6,0,7,8,0,7,6,8,6,7,8,7,5,5,4,5,0,3,1,0,5,8,3,6,3,0,5,7,4,5,6,8,2,10,0,6,3,5,5,5,5,11,10,1,8,10,1,3,6,11,2,11,7,13,3,7,12,12,13,0,13,12,5,10,0,8,4,5,4,11,2,11,5,12,10,6,4,4,14,13,0,16,8,5,1,9,13,3,8,10,13,13,6,4,7,7,9,17,16,6,9,1,17,17,17,15,9,17,10,12,15,9,17,8,9,17,15,12,3,4,15,12,13,20,10,20,15,14,7,5,19,7,20,8,3,1,10,20,21,21,6,16,3,9,16,11,18,13,9,11,8,1,4,22,3,18,20,10,12,8,3,7,21,18,4,6,18,21,2,24,16,22,20,22,17,4,9,18,17,23,9,16,14,8,12,24,19,15,13,13,24,17,14,24,0,9,25,12,10,10,20,1,8,5,6,21,8,27,16
15,Stop_015,6400,1000,2087,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,2,0,1,1,1,2,1,2,2,0,0,1,3,2,2,3,0,3,3,3,1,3,2,3,3,2,1,0,2,2,2,2,1,0,2,3,5,0,1,0,2,1,5,4,5,4,2,4,3,3,2,1,5,6,5,5,0,3,3,6,1,4,4,2,4,1,1,5,1,7,7,3,4,8,9,2,2,6,1,0,5,7,4,5,6,0,6,10,8,10,9,8,4,7,10,9,0,8,4,10,5,9,5,0,7,10,1,2,9,4,11,11,2,8,13,4,12,12,3,12,10,3,10,12,3,11,9,11,6,4,14,9,13,8,13,6,9,13,13,8,14,5,8,12,0,1,3,0,1,1,15,14,17,15,12,7,16,2,12,4,7,12,6,16,9,14,17,3,5,6,11,10,2,4,6,11,6,11,17,8,12,3,19,16,2,13,9,13,18,2,19,4,12,21,11,1,9,21,9,12,21,2,1,10,8,10,12,0,11,20,15,1,22,3,21,8,14,1,15,14,2,18,23,5,10,2,15,14,11,16,21,23,3,15,6,15,12,24,12,23,18,0,8,9,15,19,12,10,7,20,3,6,25,16,0,23,8,15,16,14,6,27,22,18,17,4,4,25
16,Stop_016,6800,1000,2005,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,2,0,2,1,2,1,3,1,2,2,2,1,2,1,3,1,2,4,1,1,3,2,1,2,0,1,0,3,2,2,2,4,4,2,3,5,2,5,3,4,1,5,5,6,1,2,5,4,0,0,4,3,1,0,7,2,6,4,6,5,1,6,4,6,8,0,9,2,6,6,6,3,4,6,1,9,8,1,3,8,1,5,5,10,1,8,3,4,1,2,2,8,2,4,4,8,5,0,4,2,7,4,12,6,7,3,11,11,6,12,5,3,10,0,1,10,5,10,9,10,8,1,12,13,14,2,3,13,4,1,5,2,11,8,3,10,4,4,4,10,1,7,16,9,9,4,16,5,10,16,14,2,7,16,8,5,15,8,10,16,17,7,6,2,15,6,8,17,11,1,11,11,8,8,2,6,11,5,0,16,7,14,12,4,20,8,7,11,17,9,6,18,16,3,0,18,18,16,6,8,1,0,14,10,19,16,5,21,9,16,21,3,11,8,6,7,16,11,24,18,6,21,11,21,13,14,23,19,20,18,23,5,19,21,3,22,17,25,3,15,18,5,7,2,13,6,6,6,5,1,12,13,16,20,11,15,4,28,19,5,38
17,Stop_017,7200,1000,1792,2,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,2,2,1,2,2,1,1,2,3,1,0,3,1,1,1,3,2,0,4,4,2,3,2,3,1,1,3,2,4,4,1,1,4,1,3,3,3,5,3,5,5,4,5,1,2,2,4,4,4,5,2,3,6,1,1,2,2,5,7,3,2,2,6,3,6,5,5,5,6,1,3,2,6,5,3,8,5,2,4,1,8,5,7,6,5,11,1,10,2,9,7,10,4,9,2,4,7,2,2,6,8,10,4,3,3,6,11,0,1,5,1,4,9,6,0,3,9,7,13,6,7,11,0,8,7,12,1,1,10,8,14,10,11,12,2,4,5,2,11,6,8,9,1,14,5,8,0,8,5,10,1,4,9,10,8,16,6,0,8,8,1,1,10,6,6,1,4,19,6,11,8,7,19,0,19,11,5,8,2,13,11,7,13,10,13,1,9,10,3,12,20,4,6,7,10,11,11,6,8,13,5,4,0,20,2,2,6,4,1,2,4,16,6,4,6,20,6,16,22,4,18,14,6,15,23,11,8,15,22,22,2,4,12,19,25,7,9,10,12,24,2,2,11,10,9,7,18,19,13,5,2,0,27,17,16,3,23,4,9,13,18,35
18,Stop_018,7600,1000,2040,2,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,2,2,1,1,3,1,0,0,0,1,0,1,1,2,0,0,3,2,3,4,0,2,4,2,3,2,4,2,4,4,2,3,4,4,5,6,1,4,1,5,2,6,4,6,1,5,3,7,0,5,5,2,4,6,4,5,7,4,4,8,3,8,7,4,4,5,4,2,4,7,5,8,3,4,1,1,0,5,2,6,1,5,3,1,0,5,7,2,1,10,6,0,2,2,10,6,6,1,10,1,12,0,10,7,2,7,3,11,2,10,1,2,4,5,10,1,12,8,10,12,2,12,7,12,14,10,12,1,10,9,1,4,6,8,1,2,12,3,3,5,2,12,14,14,5,9,13,16,16,16,9,16,6,6,1,16,12,12,4,11,18,17,4,14,1,9,5,1,7,14,9,18,1,9,10,19,11,17,9,13,18,9,17,14,2,17,16,16,16,11,8,5,9,16,18,8,16,17,7,15,21,2,3,22,8,11,8,3,2,20,5,4,10,18,21,20,18,14,11,3,18,17,10,4,11,13,6,19,19,14,20,2,11,16,3,2,19,17,17,26,22,14,18,14,3,22,24,10,0,16,24,10,11,9,1,3,1,2,25,34
19,Stop_019,8000,1000,1909,1,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,2,0,3,0,1,2,1,1,0,0,1,4,1,3,3,1,1,3,4,1,3,3,2,0,1,3,5,4,0,5,5,4,4,1,2,3,2,5,6,2,3,3,4,6,5,2,5,4,4,7,1,6,7,3,7,5,3,2,1,2,2,6,2,6,3,7,8,4,9,0,2,6,3,0,5,4,9,10,7,5,10,4,2,3,4,7,4,2,1,1,8,9,2,7,4,2,9,2,7,7,1,2,8,5,7,1,13,4,4,8,4,2,8,13,0,10,1,11,10,14,9,8,5,6,8,7,2,10,11,2,8,1,9,14,8,2,15,4,15,0,12,15,9,8,2,14,16,1,6,17,12,16,6,5,4,11,16,6,17,17,13,6,17,2,5,14,2,5,19,5,4,6,2,13,13,1,4,3,8,4,10,18,0,15,11,18,4,8,16,17,19,5,4,19,3,5,4,14,3,1,6,8,20,8,6,19,23,4,19,20,23,20,9,7,11,20,20,22,13,7,8,4,17,18,20,7,19,5,18,4,3,19,5,24,18,4,11,12,23,2,9,9,9,3,7,26,14,12,7,10,10,2,1,7,17,34
20,Stop_020,8400,1000,1916,3,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,2,0,0,1,1,1,2,2,2,1,2,2,3,3,3,3,3,1,2,2,0,2,1,3,1,4,2,2,2,0,1,2,1,5,5,1,5,2,5,0,2,6,4,1,5,4,3,2,3,5,4,7,5,3,5,7,2,6,2,0,3,2,3,1,7,1,3,6,3,2,0,1,7,0,2,1,7,4,8,6,1,9,1,3,3,4,9,1,11,6,4,4,4,9,4,8,5,5,11,9,12,4,5,11,3,9,4,8,12,2,4,1,1,2,6,6,5,4,8,4,10,3,14,10,13,8,6,11,2,8,4,11,14,1,5,6,2,12,6,2,8,6,4,1,11,14,9,4,9,1,9,16,3,0,17,2,3,7,16,5,6,8,8,13,16,18,18,5,5,2,1,11,5,19,17,19,10,16,9,12,10,19,8,1,9,9,17,10,2,15,16,6,19,1,3,19,7,7,13,14,8,12,20,2,11,15,18,4,18,8,8,6,17,14,10,13,17,10,8,1,13,3,7,7,7,12,20,9,8,1,17,12,25,18,19,13,10,25,13,21,16,12,25,10,26,13,8,10,20,10,2,9,11,12,18,4,22,2,27,2
21,Stop_021,8800,1000,2030,2,1,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,2,1,2,1,1,2,1,3,2,1,3,0,1,3,1,0,1,1,4,2,0,0,2,3,3,5,3,2,2,0,0,4,5,2,4,5,1,5,5,4,3,0,5,0,4,7,6,0,3,5,0,2,3,5,0,3,5,1,2,5,3,1,4,6,0,8,0,0,2,4,6,7,2,4,9,7,8,2,2,7,4,1,8,5,6,5,8,2,11,8,1,6,7,9,6,3,5,7,7,4,2,10,7,0,12,5,5,12,1,12,13,4,11,4,9,13,9,3,9,2,5,9,13,9,0,14,8,6,9,0,9,5,9,11,10,15,3,1,9,5,7,8,13,13,6,9,13,8,14,14,7,11,13,12,9,13,15,5,6,0,1,13,9,14,18,15,10,14,15,6,5,3,8,9,3,19,10,3,4,17,0,8,11,14,12,10,18,11,3,14,19,16,9,10,21,19,11,2,20,0,18,22,12,0,17,10,18,16,11,9,9,16,6,7,20,20,7,1,10,8,5,2,14,11,15,20,1,19,13,19,14,3,20,19,22,6,7,13,4,14,1,23,13,17,17,21,17,11,10,4,23,12,17,27,15,24,25
22,Stop_022,9200,1000,1996,0,1,1,0,2,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,2,1,1,0,2,0,1,3,0,0,1,2,3,3,2,3,3,1,2,3,3,3,4,3,2,1,0,5,2,4,1,1,2,5,5,3,1,1,6,6,1,3,0,4,3,3,2,2,0,5,1,4,6,6,6,4,3,0,8,5,5,3,8,1,4,3,1,1,4,3,5,5,2,6,9,9,5,9,6,9,8,9,4,6,5,5,9,5,7,5,9,6,4,6,5,8,9,3,12,1,4,5,6,8,0,11,1,9,5,2,2,6,1,10,13,10,9,12,11,13,0,4,2,11,8,9,5,13,7,1,2,5,5,2,4,3,9,15,12,12,4,7,4,9,9,6,12,5,5,2,4,13,1,5,5,16,10,3,5,10,9,12,14,18,14,5,6,6,3,19,18,10,18,10,15,9,19,7,11,16,17,16,3,19,4,10,2,2,1,6,17,15,15,19,16,3,17,3,21,6,17,13,9,20,17,17,10,2,10,8,0,12,10,18,19,21,13,21,12,22,2,15,9,17,19,13,13,6,13,5,1,18,7,6,14,7,16,12,12,5,22,9,4,16,2,26,16,23,26,8,23,0,21,27,43
23,Stop_023,9600,1000,1915,2,2,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,2,2,2,2,2,0,1,2,1,2,2,1,1,1,3,1,1,3,1,0,0,0,2,2,3,1,4,1,0,3,1,3,3,3,5,1,4,4,2,1,5,2,5,5,3,2,3,1,3,6,2,1,1,3,7,6,7,2,8,7,5,1,6,2,1,7,6,4,7,7,5,2,7,4,1,8,1,8,7,3,0,2,4,8,2,8,7,6,7,10,10,2,1,6,2,9,1,4,10,3,1,4,7,0,11,4,2,4,9,4,12,0,3,4,7,2,9,2,12,9,11,12,11,5,13,8,4,14,15,2,2,8,12,2,6,3,10,3,12,14,3,2,14,1,1,15,0,0,2,10,3,15,2,10,16,8,13,3,17,5,12,12,14,4,6,10,4,2,13,13,9,1,12,4,9,2,7,2,5,2,8,18,10,4,17,6,3,11,6,14,6,18,17,2,16,2,18,2,2,13,7,3,18,18,20,12,7,20,7,12,18,18,5,9,12,5,6,0,13,19,22,16,10,22,21,23,11,2,2,24,0,17,10,15,6,9,9,23,24,8,8,6,19,24,7,8,25,21,25,3,20,23,4,5,25,15,5,54
24,Stop_024,10000,1000,1991,4,1,2,1,1,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,2,1,1,2,0,2,2,2,2,2,3,0,2,1,1,2,2,2,2,1,3,0,2,3,2,4,2,1,2,3,1,4,2,4,2,4,4,0,2,5,6,2,1,1,6,3,2,4,6,3,1,1,1,7,3,3,2,1,6,7,1,6,0,2,6,1,3,3,7,7,0,0,6,2,5,2,7,1,3,4,6,7,4,6,6,7,6,8,3,11,9,8,4,7,9,5,7,5,6,4,4,6,6,3,2,9,7,6,11,3,2,11,1,13,3,12,12,0,2,7,12,8,12,6,8,13,11,3,12,1,1,15,3,2,14,3,7,11,1,5,10,8,16,6,10,11,12,7,5,6,9,4,7,13,16,7,8,15,0,1,13,3,17,2,8,4,9,4,0,11,15,7,14,8,16,6,19,1,3,4,4,7,5,5,13,5,10,10,7,17,4,14,14,15,17,7,8,10,13,13,20,5,20,17,12,11,4,22,20,13,17,5,1,12,19,13,2,6,23,2,23,0,14,1,13,12,20,23,21,22,1,9,10,18,7,6,2,15,23,25,26,18,18,16,10,15,16,25,15,7,17,14,14,16,27,19,45
25,Stop_025,10400,1000,1791,5,1,1,1,1,1,2,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,2,1,2,1,2,0,2,3,1,1,1,3,1,3,2,2,3,0,2,0,2,1,3,3,1,2,0,3,0,3,4,0,5,1,5,3,1,4,2,0,1,3,5,3,1,5,5,6,0,2,5,0,3,1,0,6,1,5,1,4,3,2,1,5,6,2,5,9,6,1,2,1,7,2,0,9,3,4,9,2,6,1,5,4,7,1,8,2,4,6,6,5,2,1,6,10,2,10,1,1,6,2,2,11,6,11,2,5,3,10,4,5,7,2,4,1,10,4,14,3,4,8,0,2,14,4,14,8,15,2,4,1,3,9,10,15,9,13,5,4,5,13,3,13,1,9,15,1,4,4,8,17,11,0,3,0,10,4,9,15,15,16,13,4,16,11,18,19,2,15,19,13,18,10,6,9,1,6,14,0,1,11,2,8,9,13,13,7,5,19,6,19,13,6,3,14,16,10,15,3,18,20,10,2,14,19,4,15,1,18,4,14,21,14,18,1,9,13,12,12,17,12,15,21,1,12,22,21,8,11,12,9,12,14,24,17,6,6,7,13,0,0,9,16,9,22,1,20,13,22,5,25,6
26,Stop_026,10800,1000,1808,5,2,2,0,2,1,0,2,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,3,1,1,0,3,1,2,2,4,3,3,3,1,4,4,2,2,2,1,0,1,1,3,3,1,1,2,5,5,4,5,6,5,1,6,3,1,1,1,2,7,4,2,1,0,6,7,7,3,7,3,7,0,5,2,8,5,3,2,2,7,8,1,4,1,4,3,2,2,1,4,1,2,3,8,1,2,9,11,7,9,0,0,0,10,0,5,2,11,7,7,10,9,10,0,4,8,7,9,8,12,7,8,2,7,8,10,4,12,1,13,11,4,8,0,2,14,10,12,8,5,8,1,8,12,3,9,15,15,13,3,15,6,13,4,7,4,6,5,0,15,6,11,13,3,3,0,14,16,1,6,1,6,7,6,1,8,8,9,5,7,16,4,11,12,11,5,6,8,15,3,17,2,6,18,1,12,4,5,12,9,18,17,6,21,14,13,13,5,14,4,8,7,5,21,2,13,5,12,7,14,11,22,9,16,2,0,5,17,13,21,19,2,1,1,20,15,16,7,14,10,1,24,10,17,3,19,14,21,3,23,6,12,26,16,11,7,8,5,18,13,25,23,7,18
27,Stop_027,11200,1000,1992,3,3,2,2,0,0,1,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,2,1,1,0,2,2,2,1,1,2,2,1,0,0,1,3,1,3,3,1,3,2,3,2,2,3,1,2,2,2,0,2,4,2,2,3,4,3,1,2,1,5,5,3,1,0,5,4,6,3,3,5,7,6,1,0,4,3,5,3,5,6,1,0,7,1,0,7,5,9,7,8,2,3,7,4,9,8,8,9,4,2,8,7,3,7,0,8,6,7,1,4,2,5,4,8,6,1,6,7,2,9,11,2,1,6,12,12,3,11,9,6,9,4,5,3,5,3,12,4,9,4,10,13,1,9,7,4,6,6,6,4,13,6,2,10,7,12,8,14,3,11,10,6,10,9,5,12,9,13,11,4,7,13,11,9,8,14,16,9,13,3,6,15,3,5,6,12,13,17,10,8,13,2,12,4,8,1,19,17,16,10,4,9,6,16,13,14,21,9,10,20,15,16,13,12,9,21,9,16,3,2,1,2,10,18,18,13,3,7,23,21,19,22,11,19,14,1,20,0,13,9,17,12,14,14,0,6,14,2,17,23,8,9,20,16,14,22,7,12,1,23,7,24,18,11,8,11,26,1,23,13,13,18,32
28,Stop_028,11600,1000,1812,5,1,2,0,2,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,1,0,1,1,2,1,2,2,2,1,1,2,1,1,0,3,1,2,1,1,2,1,0,4,3,1,4,0,1,4,4,2,4,1,2,2,1,1,2,0,0,4,5,0,5,2,0,0,4,4,3,1,6,4,0,3,5,3,6,3,0,5,8,1,2,6,7,4,2,4,9,4,3,4,1,2,3,2,9,6,8,1,9,3,2,9,8,4,10,7,3,9,1,9,5,2,2,1,10,6,11,12,8,3,3,11,12,12,6,8,8,12,10,12,9,6,7,6,10,4,10,11,7,6,3,12,12,11,9,6,1,9,2,0,14,12,9,5,5,4,14,7,3,7,7,9,1,3,9,11,0,6,7,3,3,14,3,13,11,0,3,6,10,15,15,1,1,13,0,5,8,14,2,17,9,18,12,10,2,4,10,1,14,15,12,3,10,8,1,13,9,4,2,16,4,7,8,15,8,4,16,6,12,7,13,17,18,13,15,0,2,13,6,22,18,2,20,14,23,12,21,14,10,12,16,18,11,1,2,24,3,21,10,11,1,18,17,20,12,7,13,2,4,3,1,11,23,3,3,13,15,22,23,21,42
